bandwidth_mbps,rate_per_sec,reception_ratio,avg_delay_ms
5,21000,0.3215353870623378,103.4168885258711
5,42000,0.2637050086055703,130.73022436889104
5,84000,0.21447160796182896,115.51189402700733
5,105000,0.19479294928690757,109.05890167844493
10,21000,0.39851935411553385,100.75911478660142
10,42000,0.30842793843279853,88.24316934086758
10,84000,0.2633807596187804,122.2766401585021
10,105000,0.2563438590865044,86.67598524041998
15,21000,0.4683609892923109,62.92764954273411
15,42000,0.3544985306498394,68.11341974623986
15,84000,0.2876558867687094,72.67105772400892
15,105000,0.2774785947479832,104.5187546863872
20,21000,0.5243323802442471,58.95114257354442
20,42000,0.38505874396461776,78.96699258841285
20,84000,0.3154045847983755,87.81723031342145
20,105000,0.2983982927751304,84.20855513979326
25,21000,0.5729609041681798,55.18517150491572
25,42000,0.4233033382695812,60.00288845528285
25,84000,0.3267731596416497,72.51664723972296
25,105000,0.3067408590148801,75.92784678264151